"","Years_estimates","unsheltered_estimates","sheltered_estimates","Total_Homeless","homeless_perc_growth","NY_perc_growth","adjusted_growth"
"1",2014,3357,52052.5161290323,55409.5161290323,2.27887792414232,0.588070468722915,1.6908074554194
"2",2015,3182,58432.9032258065,61614.9032258065,11.1991360515109,0.52540194216471,10.6737341093462
"3",2016,2794,58208.7096774194,61002.7096774194,-0.993580313099784,0.248587976612933,-1.24216828971272
"4",2017,3892,60192.064516129,64084.064516129,5.05117699689701,0.68398965385547,4.36718734304154
"5",2018,NA,NA,Inf,Inf,0.427403928246517,Inf
